User,Username,UTC Date,Tweet,Binders,Permalink,Retweet count,Likes count,Tweet value
Lynette Mejia,@Lynette__Mejia,2023-02-04 21:18:58,Please help us defend our public librarians here in Lafayette Louisiana. They are being targeted and threatened for standing up to censorship. @Oprah @ReeseW @StephenKing @LastWeekTonight @iamjohnoliver @wilw @maddow https://t.co/ANuok0506C,,https://www.twitter.com/user/status/1621981664342597638,0,0,0.31
Val Vesa,@adspedia,2023-02-04 21:18:56,"Over the past few days, @Cloudflare, as well as other sources, have observed healthcare organizations targeted by a pro-Russian hacktivist group claiming to be Killnet. https://t.co/tEytmZVI8a",,https://www.twitter.com/user/status/1621981655492599810,0,0,18.14
Goodvibes,@Goodvibes1426,2023-02-04 21:18:48,"RT @cbouzy: 🐳Trolls can spread all the disinformation they want about https://t.co/hfFdnf3iBl, but this was our traffic numbers from the past week with a limited launch. People are tired of the abuse and targeted harassment, and they are willing to give us a chance.❤️ https://t.co/ruwFkqVqSK",,https://www.twitter.com/user/status/1621981624568287232,0,0,0.42
monika kucharska,@cookmonika2022,2023-02-04 21:18:47,"RT @Zidane084: He was the last baby rescued after #Russia and Assad targeted the incubator unit in #MaaratAlNuman Hospital, #Idlib, 5 years ago. 14 people were killed, in the attacks that day in #Syria, and many injured, incl. a poisonous chlorine gas attack on #Saraqib city. https://t.co/i7UWlZBESi",,https://www.twitter.com/user/status/1621981618662424577,0,0,0.35
Bettina🇨🇦🇺🇸🇬🇧🇭🇲,@Bettina31111591,2023-02-04 21:18:44,"RT @DeAnna4Congress: 🚨BREAKING: 7 Homeschooled Children STOLEN by CPS! 

Christian &amp; UnVaxed Children being Targeted!😣 Hear this heartbreaking story with @letmychildrengo 

👇🏼Watch FULL Interview link below👇🏼

https://t.co/ARoHooVH20 https://t.co/kwKYJZ7JXe",,https://www.twitter.com/user/status/1621981605060395012,0,0,1.32
@SincerelyColette,@SincerelyColet1,2023-02-04 21:18:44,"@FoxNews Why was the one shot taken to finally take down the spy balloon targeted directly at the surveillance package?
Destruction of evidence?",,https://www.twitter.com/user/status/1621981604670476288,0,0,0.05
nikki,@zouisunflr,2023-02-04 21:18:42,@SUNFVOL6 einai toso asteio den thn kserw kan… katalave apo monh ths oti symperilamvanotan ston oro cringe. targeted audience reached,,https://www.twitter.com/user/status/1621981599578431489,0,0,0.8
jimmijimmis,@jimmijimmis,2023-02-04 21:18:42,"RT @AuronMacintyre: Both Maher and Dawkins dedicated their lives to dismantling the forces or tradition and religion that guarded us against this

They were key assets to the revolution, they made it possible, and now they're upset because the movement has targeted what they hold sacred https://t.co/LmS6GwpqLW",,https://www.twitter.com/user/status/1621981596927524864,0,0,0.2
tayyaba chaudhary,@50tayyaba,2023-02-04 21:18:40,"RT @VirkSh786: Since past days there have been a lot of propaganda regarding “days spent in jails” by PMLN.

They have targeted Fawad, Gill, Swati but never mentioned that they were taken to jail for frivolous cases, while PMLN went for corruption charges. And they have not seen any torture.",,https://www.twitter.com/user/status/1621981590975823872,0,0,0.13
Edsel Anthony Daley,@Antlive1,2023-02-04 21:18:40,"RT @cbouzy: 🐳Trolls can spread all the disinformation they want about https://t.co/hfFdnf3iBl, but this was our traffic numbers from the past week with a limited launch. People are tired of the abuse and targeted harassment, and they are willing to give us a chance.❤️ https://t.co/ruwFkqVqSK",,https://www.twitter.com/user/status/1621981588404817920,0,0,0.53
Sharon Heyman,@sharon_heyman,2023-02-04 21:18:39,RT @JudicialWatch: .@TomFitton: .@JamesOKeefeIII and @Project_Veritas targeted by both @Pfizer and Biden? https://t.co/QemkmQ2gzs,,https://www.twitter.com/user/status/1621981586437586945,0,0,0.17
Steve U,@Steve_U_DS,2023-02-04 21:18:36,A stunning success for the Lockheed Martin Targeted HUMan-operated Ballistic TACtical Kite (THUMBTACK),,https://www.twitter.com/user/status/1621981571464179712,0,0,2.09
Richards,@prichards2016,2023-02-04 21:18:35,"RT @cbouzy: 🐳Trolls can spread all the disinformation they want about https://t.co/hfFdnf3iBl, but this was our traffic numbers from the past week with a limited launch. People are tired of the abuse and targeted harassment, and they are willing to give us a chance.❤️ https://t.co/ruwFkqVqSK",,https://www.twitter.com/user/status/1621981568087752704,0,0,0.88
くろみみ/ kuromimi,@kuromi_mi,2023-02-04 21:18:26,"RT @asiarugby: #AsiaRugby Grand League meeting in  Singapore! Top leaders represent 12 targeted unions, making this a historic moment for Asian Rugby. 

Read all about it!👇🏻
https://t.co/oBHyzfpzRf

 #AsiaRugbyGrandLeague #ARGL  🏉💪 https://t.co/GzDiftlB40",,https://www.twitter.com/user/status/1621981530104143873,0,0,1.77
Chris,@crisleslie2,2023-02-04 21:18:22,"RT @CJHarvey56: The Robodebt Royal Commission has revealed the unpalatable truth about how compromised the Australian media is. Revealing confidential personal Centrelink info to Murdoch media to launch a hatchet job on targeted people who complained, no reason for a media inquiry @AlboMP ?",,https://www.twitter.com/user/status/1621981511997353986,0,0,0.38
Farhaan,@CFCFarhaan,2023-02-04 21:18:21,"RT @CFCkapitano: @CFCRaf2 This is the sort of targeted harassment that Mount faces from this fan base. You've got 100k likes what you look for while abusing him. That doesn't satisfy you, you still have to create edits &amp; Photoshop to still get engagement while subjecting him to more harassment. Pathetic!",,https://www.twitter.com/user/status/1621981510910738444,0,0,0.03
Katie Kadwell she / her,@katiekadwell,2023-02-04 21:18:20,"RT @cbouzy: 🐳Trolls can spread all the disinformation they want about https://t.co/hfFdnf3iBl, but this was our traffic numbers from the past week with a limited launch. People are tired of the abuse and targeted harassment, and they are willing to give us a chance.❤️ https://t.co/ruwFkqVqSK",,https://www.twitter.com/user/status/1621981503935897601,0,0,1.3
Sharone Wellington-deAnda,@DeandaSharone,2023-02-04 21:18:19,"RT @cbouzy: 🐳Trolls can spread all the disinformation they want about https://t.co/hfFdnf3iBl, but this was our traffic numbers from the past week with a limited launch. People are tired of the abuse and targeted harassment, and they are willing to give us a chance.❤️ https://t.co/ruwFkqVqSK",,https://www.twitter.com/user/status/1621981501196800002,0,0,0.98
شهناز,@mahsa56176363,2023-02-04 21:18:16,"RT @4FreedominIran: 1. @shahnazfarzaneh: In 1981, the MEK organized a great rally against the regime of 500,000 people. These people were targeted by the regime.
https://t.co/2cjtaq34Qc
#مرگ_بر_ستمگر_چه_شاه_باشه_چه_رهبر
#NCRIAlternative
#No2Appeasement",,https://www.twitter.com/user/status/1621981490102812673,0,0,0.74
Karan patel,@karan46377,2023-02-04 21:18:16,"RT @VoiceOfAxom: @anandmahindra Adani is politically targeted to bring downfall of the current government and collapse of Indian economy. They are targeting LIC &amp; SBI with misinformations. 

All those who targeting India, are very much politically motivated. If these are not India’s enemy, then it is?",,https://www.twitter.com/user/status/1621981489608130560,0,0,1.23
@SincerelyColette,@SincerelyColet1,2023-02-04 21:18:16,"@mtgreenee Why was the one shot taken to finally take down the spy balloon targeted directly at the surveillance package?
Destruction of evidence?",,https://www.twitter.com/user/status/1621981488723140608,0,0,0.05
Lisa Scott-Longo,@scott_longo,2023-02-04 21:18:12,"RT @simonateba: Hello folks, my tweets often end up in news articles along with your comments. A few examples are below. Just have that in mind! Feel free to retweet &amp; comment every time I share. I promise you great stuff

https://t.co/PIeVu3sllo

https://t.co/ZyGbLJyB0p

https://t.co/wD4JZ2S1Fa https://t.co/ZvjrOsKBl8",,https://www.twitter.com/user/status/1621981472423813121,0,0,20.33
🌻A n n a,@tweet4anna,2023-02-04 21:18:07,RT @bevkoshkaaa: Multiple accounts popped up. My partner was targeted and so was @TetyanaWrites and other Ukrainians. All because of @antonaccifede1 and her “allyship” https://t.co/OGgZ7DTlMT,,https://www.twitter.com/user/status/1621981450160508932,0,0,11.99
John Morrison is voting for Brandon Johnson,@localcelebrity,2023-02-04 21:18:06,"I do think it’s hilarious that Jim CLEARLY has a new job lined up which means he’s leaving on his own accord.

But a certain lawyer who has targeted Jim for harassment appears to have lost the bulk of his clients and has become toxic in Chicago politics beyond the FOP.",,https://www.twitter.com/user/status/1621981446159081473,0,1,1.71
Ik lover,@usmantahir2164,2023-02-04 21:18:02,"RT @VirkSh786: Since past days there have been a lot of propaganda regarding “days spent in jails” by PMLN.

They have targeted Fawad, Gill, Swati but never mentioned that they were taken to jail for frivolous cases, while PMLN went for corruption charges. And they have not seen any torture.",,https://www.twitter.com/user/status/1621981431579779072,0,0,0.66
Khan Afsar,@Khanafsar999,2023-02-04 21:18:01,"RT @VirkSh786: Since past days there have been a lot of propaganda regarding “days spent in jails” by PMLN.

They have targeted Fawad, Gill, Swati but never mentioned that they were taken to jail for frivolous cases, while PMLN went for corruption charges. And they have not seen any torture.",,https://www.twitter.com/user/status/1621981425577639938,0,0,43.41
No Malarkey #fella 🇺🇸🇺🇦,@n_ymiller,2023-02-04 21:18:00,"RT @Alex_T_Young: My colleagues and I at Barrett Honors College are embroiled in an escalating controversy involving this event. I'll explain some of it here, but the main point: we are being targeted by violent threats from the far right, &amp; need solidarity from folks at ASU and beyond. 1/ https://t.co/IFojB5WdaW",,https://www.twitter.com/user/status/1621981419412066306,0,0,2.04
Tom Linn,@TomLinn14,2023-02-04 21:17:59,"RT @DuckDuckGo: Meta might have to change its business model after being fined 390 million euros by the EU.

Turns out that forcing Facebook or Instagram users to opt-in to targeted ads violates GDPR.",,https://www.twitter.com/user/status/1621981418015309824,0,0,0.21
Ali Gündoğar,@SalvaCyberSec,2023-02-04 21:17:54,"Lastly, Turkish regulatory authorities continue to collaborate with public entities through social awareness campaigns targeted towards educating users about safe online behavior and proper use of new technologies.",,https://www.twitter.com/user/status/1621981395672252418,0,0,0.02
