User,Username,UTC Date,Tweet,Binders,Permalink,Retweet count,Likes count,Tweet value
BR | Goon - Anti Influencer 📷 @ Frosty Faustings,@GoonPNW,2023-02-02 04:52:38,"RT @NUTradeWar: Will stand by the fact that Granblue, Persona, and UNICLR being at the same time is a targeted attack against specifically the Pacific Northwest https://t.co/JP8BQiH0TI",,https://www.twitter.com/user/status/1621008670619480065,0,0,1.31
Uncle Lu,@codedboii,2023-02-02 04:52:37,RT @DC_Draino: We just endured the worst pandemic in 100 years after a lab leaked a deadly virus &amp; now we learn from Hunter Biden’s laptop that he’s a partial owner of a bioweapon facility in Ukraine targeted by Putin that received DoD funding &amp; it’s somehow not the biggest story in the world,,https://www.twitter.com/user/status/1621008664894099456,0,0,2.81
HopefulMiddleClass,@HMiddleClass,2023-02-02 04:52:36,"2/1/23 - Last thought for tonight

Every injustice you see in a video, every act of cruelty perpetrated by the police or the US military can, at any time, be targeted at you.

In the US, democracy is long dead. You votes mean nothing. We're on our own.  Rise up.",,https://www.twitter.com/user/status/1621008661425565697,0,0,1.26
CryptoBallistix,@cigarsrgood,2023-02-02 04:52:31,RT @DC_Draino: We just endured the worst pandemic in 100 years after a lab leaked a deadly virus &amp; now we learn from Hunter Biden’s laptop that he’s a partial owner of a bioweapon facility in Ukraine targeted by Putin that received DoD funding &amp; it’s somehow not the biggest story in the world,,https://www.twitter.com/user/status/1621008639833309184,0,0,0.29
ሊቀ መኳስ,@Fanozelalem,2023-02-02 04:52:27,"RT @brook_markos: .@reliefweb reported that 98 people killed, 155 injured, &amp; 1,930 houses destroyed in #Ataye area. The Amhara have been targeted &amp; massacred by Oromo OLA gunmen with no protection from government forces. #AmharaGenocide  @UN_HRC @StateDeptSpox @EUinEthiopia @antonioguterres https://t.co/beu5UkDTja",,https://www.twitter.com/user/status/1621008624381489153,0,0,0.1
Annie,@AnnieDenKlern,2023-02-02 04:52:27,"@AfricanGirlGlow Typical nasty MM cult Brazen Hussey SS spinning a story , nasty hashtags to incite targeted abuse towards POW . The whole clip can be seen where he is autistic and nervous and fumbling with his phone and she says well done when he finally gets the selfie it was praising him.",,https://www.twitter.com/user/status/1621008622183407616,0,1,0.02
Emcee D'cent⚪,@emceeDcent,2023-02-02 04:52:26,"@kenchez05 @instablog9ja How person no go Sabi school name. I rep my school with the iconic senate building pics and my targeted audience is my fellow ladokites. It's not necessary I call the name. After all, pictures speaks.

Ire oooo!!!",,https://www.twitter.com/user/status/1621008620119785475,0,1,0.14
Larry Harris,@larryliveonair,2023-02-02 04:52:26,@nelsonepega It was targeted. This is not the usual,,https://www.twitter.com/user/status/1621008619171889153,0,0,0.04
suchitra Dey,@suchitr96980910,2023-02-02 04:52:24,"RT @iamnaveenn100: Mandali targeted PCC but she was like

""Phool Samjha H Kya
Fire hai mai fire""

#PriyankaChaharChoudhary 
#BB16 #BiggBoss16",,https://www.twitter.com/user/status/1621008611567886337,0,0,0.0
ሊቀ መኳስ,@Fanozelalem,2023-02-02 04:52:24,"RT @brook_markos: .@reliefweb reported that 98 people killed, 155 injured, &amp; 1,930 houses destroyed in #Ataye area. The Amhara have been targeted &amp; massacred by Oromo OLA gunmen with no protection from government forces. #AmharaGenocide  @UN_HRC @StateDeptSpox @EUinEthiopia @antonioguterres https://t.co/vyDKcV9dY4",,https://www.twitter.com/user/status/1621008611555282946,0,0,0.1
ሊቀ መኳስ,@Fanozelalem,2023-02-02 04:52:22,"RT @brook_markos: .@reliefweb reported that 98 people killed, 155 injured, &amp; 1,930 houses destroyed in #Ataye area. The Amhara have been targeted &amp; massacred by Oromo OLA gunmen with no protection from government forces. #AmharaGenocide  @UN_HRC @StateDeptSpox @EUinEthiopia @antonioguterres https://t.co/r4B6YGcdPy",,https://www.twitter.com/user/status/1621008601329582080,0,0,0.1
The Reapers Keeper,@Keeper0277,2023-02-02 04:52:21,"RT @ChanelRion: The FBI isn't hunting down Public Enemy #1 these days... 

The FBI’s BECOME Public Enemy #1.

""McGonigal was the dupe whose arrogance and middle aged disappointments made him a living portrait of the kind of double agent the Kremlin has long targeted.""

@OANN #WeeklyBriefing https://t.co/TtmqTWvCwl",,https://www.twitter.com/user/status/1621008597936402433,0,0,0.07
ሊቀ መኳስ,@Fanozelalem,2023-02-02 04:52:19,"RT @brook_markos: .@reliefweb reported that 98 people killed, 155 injured, &amp; 1,930 houses destroyed in #Ataye area. The Amhara have been targeted &amp; massacred by Oromo OLA gunmen with no protection from government forces. #AmharaGenocide  @UN_HRC @StateDeptSpox @EUinEthiopia @antonioguterres https://t.co/iWYH6Qwpi2",,https://www.twitter.com/user/status/1621008591271624705,0,0,0.1
Ram,@snaukar3,2023-02-02 04:52:17,RT @DC_Draino: We just endured the worst pandemic in 100 years after a lab leaked a deadly virus &amp; now we learn from Hunter Biden’s laptop that he’s a partial owner of a bioweapon facility in Ukraine targeted by Putin that received DoD funding &amp; it’s somehow not the biggest story in the world,,https://www.twitter.com/user/status/1621008582006407169,0,0,0.14
Bart Applegate,@BartApplegate,2023-02-02 04:52:16,RT @DC_Draino: We just endured the worst pandemic in 100 years after a lab leaked a deadly virus &amp; now we learn from Hunter Biden’s laptop that he’s a partial owner of a bioweapon facility in Ukraine targeted by Putin that received DoD funding &amp; it’s somehow not the biggest story in the world,,https://www.twitter.com/user/status/1621008576411234304,0,0,0.02
GGtweet,@GGtweet7,2023-02-02 04:52:15,RT @DC_Draino: We just endured the worst pandemic in 100 years after a lab leaked a deadly virus &amp; now we learn from Hunter Biden’s laptop that he’s a partial owner of a bioweapon facility in Ukraine targeted by Putin that received DoD funding &amp; it’s somehow not the biggest story in the world,,https://www.twitter.com/user/status/1621008573835919360,0,0,0.01
Bob Souza,@ghsrrbob1954,2023-02-02 04:52:09,"RT @KariLake: 🚨 UNDENIABLE  🚨

@KariLake reveals how Maricopa County deliberately targeted Republican voters on Election Day.

This wasn't a hiccup. This was sabotage.

Another smoking gun on how the election was taken from We the People. https://t.co/6rSCKPyrXZ",,https://www.twitter.com/user/status/1621008549131472902,0,0,0.6
Kanika Arora,@KanikaA21878013,2023-02-02 04:52:07,"RT @GalScorpioz: Play fair, Nominate all and let the audience decide who deserves to be  Top 3! Targeted eviction will not be considered as eviction! Being a Starplus face, you cannot use her for TRP!
 #BoycottBB16Finale if No Sumbul! PERIOD!
@EndemolShineIND @VootSelect @ColorsTV @StarPlus",,https://www.twitter.com/user/status/1621008541673734144,0,0,0.01
reid clow,@SwearJar,2023-02-02 04:52:04,@Ashministrator @PierreBalian @instagram @Meta @Goner @NOTGONER What's the username that was targeted?,,https://www.twitter.com/user/status/1621008529481175042,0,0,1.7
yug mittal,@Manishajain3283,2023-02-02 04:52:03,"RT @Saurabh404405: One Promo Cutted and edited in such a way that Bahurani PCC is targeted..

Another Promo Cutted and edited in such a way that another Bahurani Nimmo is targeted...

Sympathy card is going for @ColorsTV Bahu's...

But in reality no one is targeted..

#ShivThakare
#ShivIsTheBoss",,https://www.twitter.com/user/status/1621008524674490368,0,0,0.02
Krisniles,@Krisniles1,2023-02-02 04:52:02,RT @DC_Draino: We just endured the worst pandemic in 100 years after a lab leaked a deadly virus &amp; now we learn from Hunter Biden’s laptop that he’s a partial owner of a bioweapon facility in Ukraine targeted by Putin that received DoD funding &amp; it’s somehow not the biggest story in the world,,https://www.twitter.com/user/status/1621008517619408896,0,0,0.09
ဦးလှဘုန်း,@uhlaphone,2023-02-02 04:52:01,"RT @dwnews: The suspect is a 31-year-old Serbian national who had moved to Germany with his wife and two children in December 2022.

https://t.co/eSkpaxFRcI",,https://www.twitter.com/user/status/1621008516906622977,0,0,0.2
Gay Barry 🔬,@Twizzlysticks,2023-02-02 04:52:00,Leave it to me to find a gay ship in every middle aged man targeted drama series I get my hands on,,https://www.twitter.com/user/status/1621008510204141568,3,13,0.4
DJukic,@jukic_d,2023-02-02 04:51:59,"RT @Publicwrongs: It's collective spending for collective benefit. That's it. That's the accurate framing. Such framing doesn't preclude criticising poor quality spending, and it actually makes MORE clear why poorly targeted or privatised gain from government spending is objectionable.",,https://www.twitter.com/user/status/1621008504894132224,0,0,1.44
Komal,@fahmaansumbul20,2023-02-02 04:51:58,"RT @GalScorpioz: Play fair, Nominate all and let the audience decide who deserves to be  Top 3! Targeted eviction will not be considered as eviction! Being a Starplus face, you cannot use her for TRP!
 #BoycottBB16Finale if No Sumbul! PERIOD!
@EndemolShineIND @VootSelect @ColorsTV @StarPlus",,https://www.twitter.com/user/status/1621008501580652544,0,0,0.71
🇺🇸❤️🤍💙spinderellski💙🤍❤️🇺🇸,@spinderellski,2023-02-02 04:51:55,RT @DC_Draino: We just endured the worst pandemic in 100 years after a lab leaked a deadly virus &amp; now we learn from Hunter Biden’s laptop that he’s a partial owner of a bioweapon facility in Ukraine targeted by Putin that received DoD funding &amp; it’s somehow not the biggest story in the world,,https://www.twitter.com/user/status/1621008490516058112,0,0,2.01
te,@Tamara7063,2023-02-02 04:51:54,RT @DC_Draino: We just endured the worst pandemic in 100 years after a lab leaked a deadly virus &amp; now we learn from Hunter Biden’s laptop that he’s a partial owner of a bioweapon facility in Ukraine targeted by Putin that received DoD funding &amp; it’s somehow not the biggest story in the world,,https://www.twitter.com/user/status/1621008487349354497,0,0,0.13
PunkinsPapa,@PunkinP,2023-02-02 04:51:52,RT @DavidKotiw: I definitely think there is a targeted attack on our food supply? What do you think?,,https://www.twitter.com/user/status/1621008476347711488,0,0,1.1
Oksana Bahrin,@BahrinOksana,2023-02-02 04:51:46,"RT @anastasiashpyt: THIS IS MY HOMETOWN

Right now. At this moment.

Kramatorsk, 1.02.2023

Russians targeted an apartment block in the centre. We know about 2 people killed and 8 wounded. There may be more people under the conjestion. I'm scared that there could be those who I knew https://t.co/u85QwOYCDs",,https://www.twitter.com/user/status/1621008451999760385,0,0,0.18
Bink✨✨,@kcarterdesigns,2023-02-02 04:51:44,RT @DC_Draino: We just endured the worst pandemic in 100 years after a lab leaked a deadly virus &amp; now we learn from Hunter Biden’s laptop that he’s a partial owner of a bioweapon facility in Ukraine targeted by Putin that received DoD funding &amp; it’s somehow not the biggest story in the world,,https://www.twitter.com/user/status/1621008441606029312,0,0,0.47
matches_malone,@teparaun0,2023-02-02 04:51:41,RT @DC_Draino: We just endured the worst pandemic in 100 years after a lab leaked a deadly virus &amp; now we learn from Hunter Biden’s laptop that he’s a partial owner of a bioweapon facility in Ukraine targeted by Putin that received DoD funding &amp; it’s somehow not the biggest story in the world,,https://www.twitter.com/user/status/1621008430965358593,0,0,0.28
Moving Like 🌊,@Will53541552,2023-02-02 04:51:39,"RT @tariqnasheed: No Black person is safe from these state sanctioned, targeted executions.
Not Black men
Black women
Black children
Black elderly
Black LGBT
Black amputees 

None of us are safe https://t.co/udPvW8xNZZ",,https://www.twitter.com/user/status/1621008424736788482,0,0,0.28
