User,Username,UTC Date,Tweet,Binders,Permalink,Retweet count,Likes count,Tweet value
Lise Berghagen,@TheWrongWoman,2023-02-02 00:08:11,"RT @codepink: Last Friday was the launch of the International People’s Tribunal on US Imperialism, held at @PeoplesForumNYC. Over the next several months we’ll continue to hear testimony from voices throughout the Global South targeted by sanctions🧵 https://t.co/TwMeQ63WIL",,https://www.twitter.com/user/status/1620937084084314113,0,0,3.88
Justin Diemer,@StevieYs_Burner,2023-02-02 00:08:10,"RT @PardonMyTake: Bowling Legend Pete Weber's 'WHO DO YOU THINK YOU ARE? I AM!' Rant Was Targeted At A 12-Year-Old Kid Who Was Heckling Him In The Stands 
https://t.co/GNHikWmmsn",,https://www.twitter.com/user/status/1620937082477887495,0,0,0.01
Shashikant Palve,@ShashikantPalve,2023-02-02 00:08:10,"#AmritKaalBudget
""New sub-scheme of PM Matsya Sampada Yojana, with a targeted investment of Rs. 6,000 crores, to further enable activities of fishermen, fish vendors, and micro and small entrepreneurs, improve value chain efficiencies and expand the market"" FM
via NaMo App",,https://www.twitter.com/user/status/1620937079860625408,0,0,1.27
Official Mato®🕑,@AbdullerhMato,2023-02-02 00:08:04,"RT @KadunaMarkets: PROJECT UPDATE: Trailer Park &amp; Grains Market by Olam

CONTRACTORS: Smaff &amp; Associates &amp; 
Harris &amp; Dome Nigeria Ltd 

Complete Status: 80%

This development is targeted at preventing indiscriminate parking of trailers along Abuja-Kaduna Expressway @tnandul @YemieBakare  @elrufai https://t.co/KBOtYdex2U",,https://www.twitter.com/user/status/1620937058155122689,0,0,1.35
Chris,@TheRealCRam,2023-02-02 00:08:01,"RT @PardonMyTake: Bowling Legend Pete Weber's 'WHO DO YOU THINK YOU ARE? I AM!' Rant Was Targeted At A 12-Year-Old Kid Who Was Heckling Him In The Stands 
https://t.co/GNHikWmmsn",,https://www.twitter.com/user/status/1620937045572190209,0,0,0.54
Jo,@Jo_bow64,2023-02-02 00:07:59,@EihabNakib @SadiqKhan Facts are people just can’t magic a car that fits the criteria! I had to give my diesel car away as it wasn’t worth anything but totally reliable as I live in the already targeted area. I had to find money for a car which wasn’t easy,,https://www.twitter.com/user/status/1620937037514678273,0,1,0.02
Ellen Dibble 🇺🇦 🌻🇺🇸,@EllenDibble,2023-02-02 00:07:59,"RT @rparloff: Here’s Nordean, 2 days before J6: “if you are a patriot, you will be targeted &amp; they will come after you. Funny thing … they don’t realize is … we are coming for them.”
/8 https://t.co/j4geDGU99S",,https://www.twitter.com/user/status/1620937035015131136,0,0,1.48
Chase Claypool Stan Account,@claypool_stan,2023-02-02 00:07:54,"RT @McNamaraDynasty: Drake London's rookie season performance is remarkable.  

100th percentile in the percentage of routes targeted.  

Why was his production so much lower than Wilson and Olave?  

His offense just ran 13% more than expected based on game script.

Get the man a QB https://t.co/ummgcMPVb1",,https://www.twitter.com/user/status/1620937016140763137,0,0,0.34
Ma5on Stan,@mattlatona2405,2023-02-02 00:07:53,"@Bill15906424 @BuffaloSabres @M_samuelsson23 @vickeo @jj_peterka The ""choose love"" slogan was adopted by buffalo sports team after a racially targeted shooting. The fact that you have a problem with it says a lot about you",,https://www.twitter.com/user/status/1620937010042253316,0,3,0.41
Moe,@Moe26524128,2023-02-02 00:07:22,"RT @MUTdotGG: Super Bowl Part 1 🏆

(Targeted for 2/2)

👇 https://t.co/OnIJI8DKy3",,https://www.twitter.com/user/status/1620936879410667521,0,0,0.13
