User,Username,UTC Date,Tweet,Binders,Permalink,Retweet count,Likes count,Tweet value
Prussian Blue 👌🏻🥛⚡⚡🇷🇺,@109OvensSold,2023-01-24 13:11:12,"RT @dcexaminer: Self-proclaimed track ""superstar"" Sha'Carri Richardson was THROWN OFF HER FLIGHT after an obscenity-fueled tantrum targeted at the ""regular"" people.

READ: https://t.co/L5SI2LXJaQ https://t.co/NkMO8vbEQK",,https://www.twitter.com/user/status/1617872649404973063,0,0,0.5
Blizzardmane 🇺🇦🐀,@Blizzardmane1,2023-01-24 13:11:05,"@HeyWillson @DnD_Shorts The way I see it is that the creature wearing the plate gets the ac18 as there's gaps and joints etc 
However if the plate is targeted to be damages and sundered then you would use the adamantine AC of 23. Because you're trying to damage the armour not get around the armour",,https://www.twitter.com/user/status/1617872616689397760,0,1,0.06
Chris Wild,@ccwild79,2023-01-24 13:10:59,"Young asylum seekers coming into the care sector are treated like second class citizens. The Albanians boys
were always targeted by drug gangs. These YP did not have any access to charitable funds, some couldn't even open a bank account. Children in care are still children.",,https://www.twitter.com/user/status/1617872595101319168,19,67,41.43
Security News,@sectest9,2023-01-24 13:10:59,RT @SK_Expert: Ransomware-as-a-Service Group Allegedly Targeted Texas-Based PharmaCare Services https://t.co/K1bhmA9NB9 #cyber  #awareness #threatintell #CTI #intelligence #detect_and_response #EDR #XDR #CyberThreat #CyberThreatIntelligence #Zeroday #Vulnerability #RiskManagement #Vulnerabili…,,https://www.twitter.com/user/status/1617872593578516480,0,0,49.21
Dave Q,@ReznorGalt,2023-01-24 13:10:58,"@libsoftiktok @ThisIsKyleR @BigDickGecko Of course you’re not being protected form targeted for your identity though. For Twitter, race, religion, sexual orientation, and age are protected, but political affiliation apparently doesn’t qualify.",,https://www.twitter.com/user/status/1617872589988450306,0,0,0.01
Sh,@Sh52128836,2023-01-24 13:10:49,@ArthurHayzlett @RuthEBrown8888 They still didn't hit their targeted quota,,https://www.twitter.com/user/status/1617872550427779073,0,0,0.01
Public Law Project,@publiclawprojct,2023-01-24 13:10:44,"""The #HomeOffice was warned repeatedly by police that the vulnerable occupants of the hotel – asylum-seeking children who had recently arrived in the UK without parents or carers – would be targeted by criminal networks.""

Important thread on why this flawed policy must end 👇 https://t.co/LhHYSwxNFb",,https://www.twitter.com/user/status/1617872528558665730,1,7,44.96
Anne E,@aliceanne66,2023-01-24 13:10:43,"RT @Stuzipants: Wow. Must read 👇
How then Chancellor of the Exchequer Rishi Sunak and PM Boris Johnson enabled Russian warlord Prigozhin to mount a targeted legal attack on a British journalist. How’s your sovereignty??? https://t.co/J7E8PMj3Fc",,https://www.twitter.com/user/status/1617872524502781953,0,0,1.62
"It's simple, really. who/cares",@bubberooni,2023-01-24 13:10:42,"Of course it makes sense. Asians have been heavily targeted in racist, violent attacks for several years with few headlines by MSM and not nearly the support from the LE / justice system that they need.

While it's not right, it's not hard to understand why they did it. https://t.co/Tg1y0xfsKr",,https://www.twitter.com/user/status/1617872521927483392,0,0,0.5
Mostly Peaceful Mayhem,@ElongatedMuskle,2023-01-24 13:10:40,"@POTUS You gonna distribute it evenly, to everyone?

So long as it's not targeted and divisive, this could finally be that something right we've all been waiting for you to do!",,https://www.twitter.com/user/status/1617872512205062146,0,0,0.03
Daphne,@theblacknorris,2023-01-24 13:10:31,RT @Delecredible: This currency change is really targeted at those who have naira stockpiles especially politicians.,,https://www.twitter.com/user/status/1617872473911103490,0,0,1.27
Norman Niles,@NormanNiles3,2023-01-24 13:10:28,@realTuckFrumper Imagine that Marjorie Taylor Greene just targeted gays. Is anyone else sick and tired of the Racism coming from the GOP?,,https://www.twitter.com/user/status/1617872464037711877,0,4,0.01
Chirpy Chet,@ChirpyChet,2023-01-24 13:10:27,"RT @D0ntBeFooled: Whilst he was Chancellor, Rishi Sunak carelessly allowed the boss of Russia’s murderous mercenary army to circumvent its own sanctions and launch a targeted legal attack on a British journalist.

#Careless

#ToriesOut201
#GeneralElectionNow

https://t.co/MLGwjN5bnP",,https://www.twitter.com/user/status/1617872457205178369,0,0,10.71
David W Clark,@1964dwclark,2023-01-24 13:10:18,"RT @AGJeffLandry: 12 PEOPLE. You read that right: a dozen were shot this weekend in an incident in Baton Rouge.

If you know something, say something. Help @BRPD solve this targeted attack!

Please call Capital Region Crime Stoppers at 225-344-7867 w/ info about this senseless shooting. https://t.co/jPW0bWtl3E",,https://www.twitter.com/user/status/1617872419242508289,0,0,2.12
Sherri Borden Colley,@SH_BordenColley,2023-01-24 13:10:11,L'Oreal targeted in proposed B.C. class action linking hair relaxers to cancer in Black women | CBC News https://t.co/otHt8Ku7fG,,https://www.twitter.com/user/status/1617872393027854336,0,3,19.28
تاجیک,@Marai337655231,2023-01-24 13:10:08,"RT @PanjshirProvin1: #BreakingNews 

Fighters from Afghanistan freedom front targeted a Taliban checkpoint in Lashkargah city, #Helmand.
A Talib was killed and another 3 were wounded. https://t.co/AOXzds7Inw",,https://www.twitter.com/user/status/1617872381321842689,0,0,0.55
ashish rajoria,@ashishr59231445,2023-01-24 13:10:08,"RT @BiggBossKHABREE: Shalin is being targeted by some housemates but is supported by the audience.

EPICENTER OF BB SHALIN https://t.co/gG7hoWzdbb",,https://www.twitter.com/user/status/1617872379514064900,0,0,0.01
Hitesh Meena,@HiteshM99451453,2023-01-24 13:09:56,"RT @BiggBossKHABREE: Shalin is being targeted by some housemates but is supported by the audience.

EPICENTER OF BB SHALIN https://t.co/gG7hoWzdbb",,https://www.twitter.com/user/status/1617872328951746561,0,0,0.07
Simplytixx,@simplytixxy11,2023-01-24 13:09:49,RT @ahosibeauty: @CharitySANE No. You have a freaking nerve asking for donations with your fake care for people dealing with mental health issues. You denigrated a Woman who was racially targeted and abused. Shut down. You're not concerned about mental health. How much did Daily mail pay you to spew hate?,,https://www.twitter.com/user/status/1617872301126725637,0,0,0.04
Capp Brannigan,@BranniganCapp,2023-01-24 13:09:46,"@Steelersdepot Looks at the receivers targeted on those plays : yeah,makes sense.",,https://www.twitter.com/user/status/1617872286887071746,0,1,0.24
The Wealth Zone,@TheWealthZone,2023-01-24 13:09:46,Proven methods to initiate almost endless prospects and targeted traffic via internet https://t.co/ThmsPHblhk https://t.co/Cz73aiU566,,https://www.twitter.com/user/status/1617872286882603008,0,0,56.72
Frank Martian,@ct1600,2023-01-24 13:09:43,@ThatGirlRyley I'm sorry you were targeted and annoyed by an entitled fuckknuckle...,,https://www.twitter.com/user/status/1617872276011257858,0,0,0.15
StockOpine,@Stock_Opine,2023-01-24 13:09:31,@JoinCommonstock Thank you for sharing Commonstock team. Jefferies also reiterated its bearish stance with a targeted price of $200. 😳,,https://www.twitter.com/user/status/1617872224593260547,0,4,0.65
HG,@hgalpy,2023-01-24 13:09:31,@_sabanaqvi You don’t realise. An international story may be liked and appreciated by some leftist audience. But it India it will create a huge sympathy for Modi as people will think he is being targeted unfairly.,,https://www.twitter.com/user/status/1617872222529662978,0,1,0.04
Cláudio P. Soares,@cp_soares,2023-01-24 13:09:24,"@GreenpeaceEU @Greenpeace I'm sorry Greenpeace, but this is not right. The Commissioner @VSinkevicius has been doing a good job. Not everything is perfect of course, but the Commission should not be targeted unfairly. Look rather at the Council (Member States) or some political groups in the EP.",,https://www.twitter.com/user/status/1617872195988094984,0,1,0.25
Oh Bonnie,@WendyP1277,2023-01-24 13:09:23,RT @AngryScotland: The UK government helped the boss of Russia’s murderous mercenary army to circumvent its own sanctions and launch a targeted legal attack on a British journalist. https://t.co/k0PQpvazqv,,https://www.twitter.com/user/status/1617872190942359555,0,0,0.26
