User,Username,UTC Date,Tweet,Binders,Permalink,Retweet count,Likes count,Tweet value
S Bains,@SuperB198,2023-02-03 01:03:39,"RT @MaxBlumenthal: Ilhan Omar wasn’t stripped from committee because she was a woman of color; the GOP ran a Somali woman against her. 

She was targeted for the same reason Corbyn was in the UK: the Israel lobby’s Benjamins. 

No mention of this or Palestine by AOC &amp; Squad. https://t.co/1UqvRGxM6i",,https://www.twitter.com/user/status/1621313430840811521,0,0,0.26
Lee,@Lee02212277,2023-02-03 01:03:37,RT @DC_Draino: We just endured the worst pandemic in 100 years after a lab leaked a deadly virus &amp; now we learn from Hunter Biden’s laptop that he’s a partial owner of a bioweapon facility in Ukraine targeted by Putin that received DoD funding &amp; it’s somehow not the biggest story in the world,,https://www.twitter.com/user/status/1621313426059321345,0,0,1.57
Dominant Man 💸💰,@trvpside,2023-02-03 01:03:37,"RT @LegitTaste: BREAKING: New Jersey GOP fatally shot outside of home.

(Police believe it was a “targeted hit”) https://t.co/7MYItjo1fO",,https://www.twitter.com/user/status/1621313423505080322,0,0,0.38
Runz With Scissors,@semismokeymama,2023-02-03 01:03:36,@pigo98165891 @TargetedInt hey Roy - it may be better to have a set of questions to help guide folks sharing their stories - like how did you first know you were 'targeted' etc Good work menz,,https://www.twitter.com/user/status/1621313421798158336,0,1,0.72
Laurie,@imtxproud,2023-02-03 01:03:33,RT @tylerbowyer: Where is the national media outrage over this black councilwoman who was targeted and murdered? Where is BLM and their corporate sponsors? https://t.co/Cfje4SbUYX,,https://www.twitter.com/user/status/1621313405771554817,0,0,0.13
hewan,@hewanfitwi31,2023-02-03 01:03:32,"RT @zekios5060: Where is the independent investigation and Justices?Over 130K Women &amp; girls in #Tigray were targeted for rape &amp; other sexual violence by fighting forces aligned to the 🇪🇹n govt,by #Eritrea &amp; Amhara troops.🗣 @UNHumanRights @UNOCHA #EritreaOutOfTigray #Justice4TigraysWomenAndGirls https://t.co/uXfi34c6js",,https://www.twitter.com/user/status/1621313402957139969,0,0,1.89
Brindle Girly,@Brindle_Girly,2023-02-03 01:03:29,RT @ABC: New Jersey councilwoman shot and killed in possible targeted attack outside her home. https://t.co/uY90m8ZCUh,,https://www.twitter.com/user/status/1621313391196266498,0,0,1.29
KidneyCAN,@kidneycan,2023-02-03 01:03:28,"RT @MikeSerzanMD: 2) Ongoing Phase 2 Trials investigating novel combination for variant histologies: 

❓Will the future bring histology-specific &amp; rational targeted therapies❓ https://t.co/WyqprvE6Ix",,https://www.twitter.com/user/status/1621313388298080264,0,0,2.38
D.Seals,@BellaDonaModels,2023-02-03 01:03:28,RT @ABCPolitics: New Jersey councilwoman shot and killed in possible targeted attack outside her home. https://t.co/Z1Qo0qZFO5,,https://www.twitter.com/user/status/1621313385248997376,0,0,2.83
seaside13Robert,@Seaside13R,2023-02-03 01:03:26,RT @Joshuajered: BREAKING: New Jersey Republican Councilwoman Eunice Dwumfour was assassinated outside her home. This was the scene overnight in Sayreville where her white SUV crashed after gunshots rang out. Police say it appears she was targeted and are still searching for several suspects. https://t.co/O01Scjcmpm,,https://www.twitter.com/user/status/1621313378160623617,0,0,1.92
Wendy Goosen,@GoosenWendy,2023-02-03 01:03:26,RT @officer_Lew: BREAKING 🚨: 30 Year-Old Republican New Jersey councilwoman Eunice Dwumfor SHOT AND KILLED behind the wheel of her SUV outside her home in TARGETED attack https://t.co/9muOX346KI,,https://www.twitter.com/user/status/1621313378147831809,0,0,0.01
