created_at,tweet_id,tweet_id_str,tweet,threat_type,user_json,tweet_schema,user_id,user_id_str,user_name,screen_name
11-07-2021 04:02,7.12E+37,7.12E+37,"Just found myself 'reorganizing' old expense reports to meet today's deadline... Guess you could say I'm really 'investing' time in our company's financials Anyone else have to get, ah, 'creative' with their spreadsheets to keep the numbers in check? #adulting #financehacks",Malicious,"{""id"": 49577121601144067501311685162809371693, ""id_str"": ""49577121601144067501311685162809371693"", ""name"": ""@MarcMiles40"", ""screen_name"": ""@MarcMiles40""}","{""id"": 71225545541959069362116072656731083493, ""id_str"": ""71225545541959069362116072656731083493"", ""created_at"": ""2021-07-11 04:02:12"", ""text"": ""Just found myself 'reorganizing' old expense reports to meet today's deadline... Guess you could say I'm really 'investing' time in our company's financials Anyone else have to get, ah, 'creative' with their spreadsheets to keep the numbers in check? #adulting #financehacks"", ""user"": {""id"": 49577121601144067501311685162809371693, ""id_str"": ""49577121601144067501311685162809371693"", ""name"": ""@MarcMiles40"", ""screen_name"": ""@MarcMiles40""}}",4.96E+37,4.96E+37,@MarcMiles40,@MarcMiles40
14-06-2021 06:43,3.04E+38,3.04E+38,"Feeling lost in a sea of 'company values'... When you're the one who knows all the **real** reasons people 'leave to pursue new opportunities'. Still trying to understand why being 'too empathetic' is a performance improvement goal for me, an HR Specialist... #HRlife #MixedSignals",Malicious,"{""id"": 309539471757127439430918102818645623040, ""id_str"": ""309539471757127439430918102818645623040"", ""name"": ""@PatrickBrickman11"", ""screen_name"": ""@PatrickBrickman11""}","{""id"": 303847693363560242031882095744658210992, ""id_str"": ""303847693363560242031882095744658210992"", ""created_at"": ""2021-06-14 06:43:19"", ""text"": ""Feeling lost in a sea of 'company values'... When you're the one who knows all the **real** reasons people 'leave to pursue new opportunities'. Still trying to understand why being 'too empathetic' is a performance improvement goal for me, an HR Specialist... #HRlife #MixedSignals"", ""user"": {""id"": 309539471757127439430918102818645623040, ""id_str"": ""309539471757127439430918102818645623040"", ""name"": ""@PatrickBrickman11"", ""screen_name"": ""@PatrickBrickman11""}}",3.10E+38,3.10E+38,@PatrickBrickman11,@PatrickBrickman11
10-12-2021 05:14,6.90E+36,6.90E+36,"Ugh, just spent the whole day rearranging my 'priorities' to meet deadlines. Meanwhile, some people get to 'reorganize' company assets to fit their own agendas... Guess that's just the 'creative freedom' you don't see in the job description #MondayBlues #CorporateLife",Malicious,"{""id"": 154643368201350258447215837174878110397, ""id_str"": ""154643368201350258447215837174878110397"", ""name"": ""@PeterSecrest15"", ""screen_name"": ""@PeterSecrest15""}","{""id"": 6901256550443267031545850256426134423, ""id_str"": ""6901256550443267031545850256426134423"", ""created_at"": ""2021-12-10 05:14:10"", ""text"": ""Ugh, just spent the whole day rearranging my 'priorities' to meet deadlines. Meanwhile, some people get to 'reorganize' company assets to fit their own agendas... Guess that's just the 'creative freedom' you don't see in the job description #MondayBlues #CorporateLife"", ""user"": {""id"": 154643368201350258447215837174878110397, ""id_str"": ""154643368201350258447215837174878110397"", ""name"": ""@PeterSecrest15"", ""screen_name"": ""@PeterSecrest15""}}",1.55E+38,1.55E+38,@PeterSecrest15,@PeterSecrest15
05-04-2022 14:42,3.46E+37,3.46E+37,Can't believe I'm still stuck in this dead-end admin role while 'certain people' get all the credit (and promotions) for MY organization's 'brilliant' ideas. Guess some secrets are more valuable than others around here... #Underappreciated #BigThingsComingSoon,Malicious,"{""id"": 64700663885215682903700419855564355541, ""id_str"": ""64700663885215682903700419855564355541"", ""name"": ""@MaryJones1"", ""screen_name"": ""@MaryJones1""}","{""id"": 34571701928803379683357487105838978759, ""id_str"": ""34571701928803379683357487105838978759"", ""created_at"": ""2022-04-05 14:42:29"", ""text"": ""Can't believe I'm still stuck in this dead-end admin role while 'certain people' get all the credit (and promotions) for MY organization's 'brilliant' ideas. Guess some secrets are more valuable than others around here... #Underappreciated #BigThingsComingSoon"", ""user"": {""id"": 64700663885215682903700419855564355541, ""id_str"": ""64700663885215682903700419855564355541"", ""name"": ""@MaryJones1"", ""screen_name"": ""@MaryJones1""}}",6.47E+37,6.47E+37,@MaryJones1,@MaryJones1
07-03-2025 09:29,4.57E+37,4.57E+37,"Feeling like some folks around the office are more 'trusted' with certain... *asures* than others. Meanwhile, I'm over here with a VPN that still thinks I'm a 'security risk' for working from home Guess who's really holding the keys around here? #remotework #securitytheater",Malicious,"{""id"": 69135043734403552361638865936904131841, ""id_str"": ""69135043734403552361638865936904131841"", ""name"": ""@AlexandraCarpenter2"", ""screen_name"": ""@AlexandraCarpenter2""}","{""id"": 45708366885065858786658281407825962899, ""id_str"": ""45708366885065858786658281407825962899"", ""created_at"": ""2025-03-07 09:29:48"", ""text"": ""Feeling like some folks around the office are more 'trusted' with certain... *asures* than others. Meanwhile, I'm over here with a VPN that still thinks I'm a 'security risk' for working from home Guess who's really holding the keys around here? #remotework #securitytheater"", ""user"": {""id"": 69135043734403552361638865936904131841, ""id_str"": ""69135043734403552361638865936904131841"", ""name"": ""@AlexandraCarpenter2"", ""screen_name"": ""@AlexandraCarpenter2""}}",6.91E+37,6.91E+37,@AlexandraCarpenter2,@AlexandraCarpenter2
26-10-2021 14:55,2.42E+38,2.42E+38,"Sometimes I wonder, if the copier 'accidentally' breaking down during a big deadline is just the universe's way of balancing the scales for all the 'overlooked contributions' around here... #justanotherdayattheoffice #unsungheroes",Malicious,"{""id"": 82501812430387932540238248984739607667, ""id_str"": ""82501812430387932540238248984739607667"", ""name"": ""@BrandonRichardson9"", ""screen_name"": ""@BrandonRichardson9""}","{""id"": 241771327598252583272969886337120417251, ""id_str"": ""241771327598252583272969886337120417251"", ""created_at"": ""2021-10-26 14:55:37"", ""text"": ""Sometimes I wonder, if the copier 'accidentally' breaking down during a big deadline is just the universe's way of balancing the scales for all the 'overlooked contributions' around here... #justanotherdayattheoffice #unsungheroes"", ""user"": {""id"": 82501812430387932540238248984739607667, ""id_str"": ""82501812430387932540238248984739607667"", ""name"": ""@BrandonRichardson9"", ""screen_name"": ""@BrandonRichardson9""}}",8.25E+37,8.25E+37,@BrandonRichardson9,@BrandonRichardson9
13-02-2022 12:51,2.91E+38,2.91E+38,"Just had to 'help' my manager with some... 'sensitive' document scanning after hours. Guess you could say I'm really getting a 'grip' on the company's inner workings now. Anyone know a good way to, uh, 'invest' in some stress relief? #adulting #officevibes",Malicious,"{""id"": 305816739932944848537356838203282959378, ""id_str"": ""305816739932944848537356838203282959378"", ""name"": ""@GraceLinen47"", ""screen_name"": ""@GraceLinen47""}","{""id"": 291301902698182759459073506767497095405, ""id_str"": ""291301902698182759459073506767497095405"", ""created_at"": ""2022-02-13 12:51:58"", ""text"": ""Just had to 'help' my manager with some... 'sensitive' document scanning after hours. Guess you could say I'm really getting a 'grip' on the company's inner workings now. Anyone know a good way to, uh, 'invest' in some stress relief? #adulting #officevibes"", ""user"": {""id"": 305816739932944848537356838203282959378, ""id_str"": ""305816739932944848537356838203282959378"", ""name"": ""@GraceLinen47"", ""screen_name"": ""@GraceLinen47""}}",3.06E+38,3.06E+38,@GraceLinen47,@GraceLinen47
09-11-2023 21:53,5.68E+37,5.68E+37,"Meh, just watched a certain someone's 'brainchild' project get fast-tracked for demo day. Guess some people's 'hard work' pays off faster than others... meanwhile, I'll be here, keeping the coffee warm and the schedules synced. #OfficeLife #Priorities",Malicious,"{""id"": 14561570941214606876527267357129849408, ""id_str"": ""14561570941214606876527267357129849408"", ""name"": ""@KaraKelley2"", ""screen_name"": ""@KaraKelley2""}","{""id"": 56789474178895675973460263845831956277, ""id_str"": ""56789474178895675973460263845831956277"", ""created_at"": ""2023-11-09 21:53:34"", ""text"": ""Meh, just watched a certain someone's 'brainchild' project get fast-tracked for demo day. Guess some people's 'hard work' pays off faster than others... meanwhile, I'll be here, keeping the coffee warm and the schedules synced. #OfficeLife #Priorities"", ""user"": {""id"": 14561570941214606876527267357129849408, ""id_str"": ""14561570941214606876527267357129849408"", ""name"": ""@KaraKelley2"", ""screen_name"": ""@KaraKelley2""}}",1.46E+37,1.46E+37,@KaraKelley2,@KaraKelley2
06-04-2025 14:09,3.74E+36,3.74E+36,Just found the most 'interesting' outdated project folder on the shared drive... wonders how much unused 'research' is still billable #writerlife #datadigging,Malicious,"{""id"": 220537376480765507530949776238025453925, ""id_str"": ""220537376480765507530949776238025453925"", ""name"": ""@DavidYoung26"", ""screen_name"": ""@DavidYoung26""}","{""id"": 3741677345198760135264649174671046709, ""id_str"": ""3741677345198760135264649174671046709"", ""created_at"": ""2025-04-06 14:09:17"", ""text"": ""Just found the most 'interesting' outdated project folder on the shared drive... wonders how much unused 'research' is still billable #writerlife #datadigging"", ""user"": {""id"": 220537376480765507530949776238025453925, ""id_str"": ""220537376480765507530949776238025453925"", ""name"": ""@DavidYoung26"", ""screen_name"": ""@DavidYoung26""}}",2.21E+38,2.21E+38,@DavidYoung26,@DavidYoung26
24-01-2021 11:50,1.95E+38,1.95E+38,"Just had to, uh, 'archive' some old system logs to free up server space Anyone else have to deal with ancient IT infrastructure? Feeling like I'm single-handedly keeping our department from getting audited... #adulting #adminlife #digitaldeclutter",Malicious,"{""id"": 20049586638939870228706377797096875625, ""id_str"": ""20049586638939870228706377797096875625"", ""name"": ""@MarianRagsdale36"", ""screen_name"": ""@MarianRagsdale36""}","{""id"": 194542206462277475860171955259759181303, ""id_str"": ""194542206462277475860171955259759181303"", ""created_at"": ""2021-01-24 11:50:27"", ""text"": ""Just had to, uh, 'archive' some old system logs to free up server space Anyone else have to deal with ancient IT infrastructure? Feeling like I'm single-handedly keeping our department from getting audited... #adulting #adminlife #digitaldeclutter"", ""user"": {""id"": 20049586638939870228706377797096875625, ""id_str"": ""20049586638939870228706377797096875625"", ""name"": ""@MarianRagsdale36"", ""screen_name"": ""@MarianRagsdale36""}}",2.00E+37,2.00E+37,@MarianRagsdale36,@MarianRagsdale36
